SYear,Species,cpue,Common_name,Func_group,Func_ID
2009,106,0.2,Alewife,Planktivore,2
2009,108,3.28125,Gizzard Shad,Piscivore,4
2009,109,6.484210526315789,Rainbow Smelt,Planktivore,2
2009,119,0.13333333333333333,Channel Catfish,Piscivore,4
2009,131,27.770833333333332,Trout-Perch,General_invertivore,3
2009,132,10.095454545454546,White Perch,Piscivore,4
2009,133,2.118181818181818,White Bass,Piscivore,4
2009,134,0.465,Freshwater Drum,Benthic_invertivore,1
2009,202,0.1,Cisco,Planktivore,2
2009,203,0.5666666666666667,Lake Whitefish,Benthic_invertivore,1
2009,402,0.4842105263157895,Carp,Omnivore,5
2009,403,0.18,Quillback,Benthic_invertivore,1
2009,405,1.008695652173913,White Sucker,Benthic_invertivore,1
2009,413,0.15000000000000002,Shorthead Redhorse,Benthic_invertivore,1
2009,504,1.74,Emerald Shiner,General_invertivore,3
2009,508,12.633333333333333,Spottail Shiner,General_invertivore,3
2009,510,6.7700000000000005,Sand Shiner,Omnivore,5
2009,707,0.2833333333333333,Logperch,Benthic_invertivore,1
2009,801,39.30416666666667,Yellow Perch,General_invertivore,3
2009,803,11.316666666666666,Walleye,Piscivore,4
2009,906,31.0875,Round Goby,Benthic_invertivore,1
2010,108,1.75,Gizzard Shad,Piscivore,4
2010,109,2.1545454545454548,Rainbow Smelt,Planktivore,2
2010,119,0.18000000000000002,Channel Catfish,Piscivore,4
2010,131,31.458333333333332,Trout-Perch,General_invertivore,3
2010,132,51.268181818181816,White Perch,Piscivore,4
2010,133,1.5045454545454546,White Bass,Piscivore,4
2010,134,0.7789473684210526,Freshwater Drum,Benthic_invertivore,1
2010,203,0.45,Lake Whitefish,Benthic_invertivore,1
2010,402,0.49444444444444446,Carp,Omnivore,5
2010,403,0.2285714285714286,Quillback,Benthic_invertivore,1
2010,405,0.6736842105263158,White Sucker,Benthic_invertivore,1
2010,504,0.375,Emerald Shiner,General_invertivore,3
2010,508,10.4,Spottail Shiner,General_invertivore,3
2010,510,36.2,Sand Shiner,Omnivore,5
2010,511,16.883333333333333,Mimic Shiner,General_invertivore,3
2010,707,0.15000000000000002,Logperch,Benthic_invertivore,1
2010,801,23.27916666666667,Yellow Perch,General_invertivore,3
2010,803,3.4166666666666665,Walleye,Piscivore,4
2010,906,22.925,Round Goby,Benthic_invertivore,1
2011,104,0.4,Longnose Gar,Piscivore,4
2011,108,2.425,Gizzard Shad,Piscivore,4
2011,109,53.269230769230774,Rainbow Smelt,Planktivore,2
2011,119,0.1875,Channel Catfish,Piscivore,4
2011,131,40.05555555555556,Trout-Perch,General_invertivore,3
2011,132,25.525925925925925,White Perch,Piscivore,4
2011,133,1.8296296296296297,White Bass,Piscivore,4
2011,134,2.408,Freshwater Drum,Benthic_invertivore,1
2011,203,0.26666666666666666,Lake Whitefish,Benthic_invertivore,1
2011,402,0.45217391304347826,Carp,Omnivore,5
2011,403,0.2181818181818182,Quillback,Benthic_invertivore,1
2011,405,1.564,White Sucker,Benthic_invertivore,1
2011,413,0.2,Shorthead Redhorse,Benthic_invertivore,1
2011,504,8.940000000000001,Emerald Shiner,General_invertivore,3
2011,508,24.081481481481482,Spottail Shiner,General_invertivore,3
2011,511,41.138461538461534,Mimic Shiner,General_invertivore,3
2011,601,0.2,Rock Bass,Benthic_invertivore,1
2011,707,0.2,Logperch,Benthic_invertivore,1
2011,801,23.374074074074073,Yellow Perch,General_invertivore,3
2011,803,4.492857142857143,Walleye,Piscivore,4
2011,906,13.829629629629629,Round Goby,Benthic_invertivore,1
2012,106,0.15000000000000002,Alewife,Planktivore,2
2012,108,6.223809523809524,Gizzard Shad,Piscivore,4
2012,109,0.5142857142857143,Rainbow Smelt,Planktivore,2
2012,119,0.34545454545454546,Channel Catfish,Piscivore,4
2012,133,1.1428571428571428,White Bass,Piscivore,4
2012,402,0.46190476190476193,Carp,Omnivore,5
2012,403,0.2857142857142857,Quillback,Benthic_invertivore,1
2012,405,0.6,White Sucker,Benthic_invertivore,1
2012,413,0.2,Shorthead Redhorse,Benthic_invertivore,1
2012,504,0.9285714285714286,Emerald Shiner,General_invertivore,3
2012,508,11.658333333333333,Spottail Shiner,General_invertivore,3
2012,511,104.0125,Mimic Shiner,General_invertivore,3
2012,605,0.72,Bluegill,General_invertivore,3
2012,610,0.2,Black Crappie,Piscivore,4
2012,801,16.116666666666667,Yellow Perch,General_invertivore,3
2012,803,2.058333333333333,Walleye,Piscivore,4
2012,906,9.1125,Round Goby,Benthic_invertivore,1
2013,108,5.921052631578947,Gizzard Shad,Piscivore,4
2013,109,8.004166666666666,Rainbow Smelt,Planktivore,2
2013,119,0.44666666666666666,Channel Catfish,Piscivore,4
2013,127,0.1,Burbot,Piscivore,4
2013,131,44.86086956521739,Trout-Perch,General_invertivore,3
2013,132,7.140000000000001,White Perch,Piscivore,4
2013,133,2.585,White Bass,Piscivore,4
2013,134,1.9,Freshwater Drum,Benthic_invertivore,1
2013,402,0.2947368421052632,Carp,Omnivore,5
2013,403,0.17777777777777778,Quillback,Benthic_invertivore,1
2013,405,0.47000000000000003,White Sucker,Benthic_invertivore,1
2013,504,2.0642857142857145,Emerald Shiner,General_invertivore,3
2013,508,14.395833333333334,Spottail Shiner,General_invertivore,3
2013,511,73.98333333333333,Mimic Shiner,General_invertivore,3
2013,601,0.2,Rock Bass,Benthic_invertivore,1
2013,608,0.2,Largemouth Bass,Piscivore,4
2013,707,0.2,Logperch,Benthic_invertivore,1
2013,801,17.020833333333332,Yellow Perch,General_invertivore,3
2013,803,5.7043478260869565,Walleye,Piscivore,4
2013,906,10.1625,Round Goby,Benthic_invertivore,1
2014,108,3.55625,Gizzard Shad,Piscivore,4
2014,109,1.0444444444444445,Rainbow Smelt,Planktivore,2
2014,113,0.1,Northern Pike,Piscivore,4
2014,119,0.18571428571428572,Channel Catfish,Piscivore,4
2014,131,12.225,Trout-Perch,General_invertivore,3
2014,132,8.589473684210526,White Perch,Piscivore,4
2014,133,0.9928571428571429,White Bass,Piscivore,4
2014,134,1.7190476190476192,Freshwater Drum,Benthic_invertivore,1
2014,203,0.15000000000000002,Lake Whitefish,Benthic_invertivore,1
2014,402,0.3923076923076923,Carp,Omnivore,5
2014,403,0.2142857142857143,Quillback,Benthic_invertivore,1
