SYear,Species,Age,biomass,numAge,Common_name,Func_group,Func_ID,towtime,BioPerTrawl
1975,118,4,0.24117,1,Brown Bullhead,Omnivore,5,200,0.00120585
1975,405,3,0.48234,9,White Sucker,Benthic invertivore,1,200,0.0024117
1975,801,3,7.811059,3186,Yellow Perch,General invertivore,3,200,0.039055295000000004
1976,405,3,0.616886,1,White Sucker,Benthic invertivore,1,220,0.002804027272727273
1976,801,3,7.057173,209,Yellow Perch,General invertivore,3,220,0.03207805909090909
1977,118,4,0.48234,2,Brown Bullhead,Omnivore,5,310,0.0015559354838709676
1977,203,3,0.412769,22,Lake Whitefish,Benthic invertivore,1,310,0.0013315129032258064
1977,402,3,14.221951,16,Carp,Omnivore,5,310,0.04587726129032258
1977,405,3,7.739491,59,White Sucker,Benthic invertivore,1,310,0.0249661
1977,610,3,0.24117,2,Black Crappie,Piscivore,4,310,7.779677419354838e-4
1977,801,3,123.531179,7849,Yellow Perch,General invertivore,3,310,0.39848767419354836
1978,113,3,1.233771,1,Northern Pike,Piscivore,4,130,0.009490546153846154
1978,402,3,2.467543,1,Carp,Omnivore,5,130,0.0189811
1978,402,4,2.5939,2,Carp,Omnivore,5,130,0.019953076923076924
1978,405,3,10.999856,56,White Sucker,Benthic invertivore,1,130,0.08461427692307692
1978,801,3,42.939688000000004,3477,Yellow Perch,General invertivore,3,130,0.33030529230769234
1978,801,4,0.858056,37,Yellow Perch,General invertivore,3,130,0.006600430769230769
1979,405,3,11.1,26,White Sucker,Benthic invertivore,1,620,0.017903225806451612
1979,415,3,0.4,1,Unidentified Redhorse,Benthic invertivore,1,620,6.451612903225806e-4
1979,801,3,110.60000000000001,3550,Yellow Perch,General invertivore,3,620,0.17838709677419357
1980,113,4,1.1,2,Northern Pike,Piscivore,4,405,0.0027160493827160497
1980,203,2,0.1,1,Lake Whitefish,Benthic invertivore,1,405,2.469135802469136e-4
1980,405,3,32.7,291,White Sucker,Benthic invertivore,1,405,0.08074074074074075
1980,801,3,44.699999999999996,1467,Yellow Perch,General invertivore,3,405,0.11037037037037035
1980,803,3,0.5,1,Walleye,Piscivore,4,405,0.0012345679012345679
1981,134,3,0.2,1,Freshwater Drum,Benthic invertivore,1,126,0.0015873015873015873
1981,405,3,11.9,23,White Sucker,Benthic invertivore,1,126,0.09444444444444444
1981,801,3,42.9,1392,Yellow Perch,General invertivore,3,126,0.3404761904761905
1982,203,4,0.4,1,Lake Whitefish,Benthic invertivore,1,280,0.0014285714285714286
1982,405,3,12.1,128,White Sucker,Benthic invertivore,1,280,0.04321428571428571
1982,801,3,60.4,1542,Yellow Perch,General invertivore,3,280,0.21571428571428572
1982,801,4,5.8,744,Yellow Perch,General invertivore,3,280,0.020714285714285713
1982,803,3,0.4,1,Walleye,Piscivore,4,280,0.0014285714285714286
1983,402,3,66.1,18,Carp,Omnivore,5,337,0.19614243323442135
1983,402,4,35.4,13,Carp,Omnivore,5,337,0.10504451038575667
1983,405,3,57.300000000000004,177,White Sucker,Benthic invertivore,1,337,0.17002967359050447
1983,610,3,0.1,1,Black Crappie,Piscivore,4,337,2.9673590504451043e-4
1983,801,3,147.4,3823,Yellow Perch,General invertivore,3,337,0.4373887240356083
1983,801,4,1.5,25,Yellow Perch,General invertivore,3,337,0.004451038575667656
1983,803,3,0.7,2,Walleye,Piscivore,4,337,0.0020771513353115725
1984,113,4,0.8,4,Northern Pike,Piscivore,4,228,0.0035087719298245615
1984,203,2,0.2,2,Lake Whitefish,Benthic invertivore,1,228,8.771929824561404e-4
1984,402,3,21.6,10,Carp,Omnivore,5,228,0.09473684210526316
1984,405,3,156.8,440,White Sucker,Benthic invertivore,1,228,0.6877192982456141
1984,801,3,107.8,4225,Yellow Perch,General invertivore,3,228,0.4728070175438596
1984,801,4,4.3,45,Yellow Perch,General invertivore,3,228,0.018859649122807017
1984,803,3,4.1,3,Walleye,Piscivore,4,228,0.017982456140350874
1985,117,4,2.8,15,Yellow Bullhead,Omnivore,5,138,0.020289855072463767
1985,203,3,2.5,13,Lake Whitefish,Benthic invertivore,1,138,0.018115942028985508
1985,801,3,85,2884,Yellow Perch,General invertivore,3,138,0.6159420289855072
1985,803,3,3.9,6,Walleye,Piscivore,4,138,0.02826086956521739
1971,119,5,2.091827,11,Channel Catfish,Omnivore,5,210,0.009961080952380953
1971,402,5,0.24117,1,Carp,Omnivore,5,210,0.0011484285714285715
1971,604,5,2.12888,150,Pumpkinseed,General invertivore,3,210,0.01013752380952381
1971,610,5,0.653939,15,Black Crappie,Piscivore,4,210,0.0031139952380952384
1971,801,5,71.147624,2052,Yellow Perch,General invertivore,3,210,0.3387982095238095
1972,113,5,2.054971,2,Northern Pike,Piscivore,4,404,0.005086561881188119
1972,119,5,9.221109,449,Channel Catfish,Omnivore,5,404,0.022824527227722772
1972,120,5,0.48234,3,Stonecat,General invertivore,3,404,0.0011939108910891088
1972,401,5,1.238307,3,Goldfish,Omnivore,5,404,0.0030651163366336633
1972,402,5,42.774244,49,Carp,Omnivore,5,404,0.10587684158415843
1972,403,5,5.270095,7,Quillback,Benthic invertivore,1,404,0.013044789603960397
1972,405,5,4.950131,28,White Sucker,Benthic invertivore,1,404,0.012252799504950495
1972,604,5,0.48234,17,Pumpkinseed,General invertivore,3,404,0.0011939108910891088
1972,610,5,1.822736,47,Black Crappie,Piscivore,4,404,0.0045117227722772275
1972,801,5,173.362145,8920,Yellow Perch,General invertivore,3,404,0.4291142202970297
1973,119,5,3.597227,45,Channel Catfish,Omnivore,5,170,0.021160158823529413
1973,134,5,0.24117,1,Freshwater Drum,Benthic invertivore,1,170,0.0014186470588235295
1973,610,5,0.24117,3,Black Crappie,Piscivore,4,170,0.0014186470588235295
1973,801,5,44.033435,2121,Yellow Perch,General invertivore,3,170,0.2590202058823529
1974,119,5,3.640876,288,Channel Catfish,Omnivore,5,280,0.013003128571428572
1974,604,5,0.8212,70,Pumpkinseed,General invertivore,3,280,0.002932857142857143
1974,610,5,0.858056,8,Black Crappie,Piscivore,4,280,0.0030644857142857144
1974,801,5,220.190503,9514,Yellow Perch,General invertivore,3,280,0.7863946535714286
1975,119,5,0.48234,63,Channel Catfish,Omnivore,5,200,0.0024117
1975,133,5,0.24117,1,White Bass,Piscivore,4,200,0.00120585
1975,405,5,0.858056,4,White Sucker,Benthic invertivore,1,200,0.0042902800000000005
1975,801,5,14.19296,662,Yellow Perch,General invertivore,3,200,0.0709648
1976,119,5,0.24117,6,Channel Catfish,Omnivore,5,220,0.0010962272727272728
1976,401,5,0.48234,11,Goldfish,Omnivore,5,220,0.0021924545454545456
1976,402,5,0.616886,3,Carp,Omnivore,5,220,0.002804027272727273
1976,405,5,0.24117,3,White Sucker,Benthic invertivore,1,220,0.0010962272727272728
1976,801,5,235.037339,15624,Yellow Perch,General invertivore,3,220,1.068351540909091
1977,119,5,0.24117,1,Channel Catfish,Omnivore,5,310,7.779677419354838e-4
1977,203,5,1.29655,1,Lake Whitefish,Benthic invertivore,1,310,0.00418241935483871
1977,307,5,0.24117,1,Lake Trout,Piscivore,4,310,7.779677419354838e-4
1977,403,5,0.72351,39,Quillback,Benthic invertivore,1,310,0.0023339032258064517
1977,405,5,0.412769,5,White Sucker,Benthic invertivore,1,310,0.0013315129032258064
1977,801,5,66.9211,3398,Yellow Perch,General invertivore,3,310,0.21587451612903225
1978,119,5,0.48234,7,Channel Catfish,Omnivore,5,130,0.0037103076923076924
1978,402,5,0.616886,1,Carp,Omnivore,5,130,0.004745276923076924
1978,801,5,9.06004,429,Yellow Perch,General invertivore,3,130,0.0696926153846154
1979,119,5,7.8,80,Channel Catfish,Omnivore,5,620,0.012580645161290323
1979,120,5,0.1,1,Stonecat,General invertivore,3,620,1.6129032258064516e-4
1979,212,5,2.2,12,Round Whitefish,Benthic invertivore,1,620,0.0035483870967741938
1979,404,5,0.3,1,Longnose Sucker,Benthic invertivore,1,620,4.838709677419355e-4
1979,405,5,58.3,174,White Sucker,Benthic invertivore,1,620,0.09403225806451612
1979,610,5,0.4,0,Black Crappie,Piscivore,4,620,6.451612903225806e-4
1979,801,5,977.8,23214,Yellow Perch,General invertivore,3,620,1.5770967741935482
1980,113,5,2.5,3,Northern Pike,Piscivore,4,405,0.006172839506172839
1980,119,5,0.8,191,Channel Catfish,Omnivore,5,405,0.0019753086419753087
1980,130,5,0.8,927,Ninespine Stickleback,General invertivore,3,405,0.0019753086419753087
1980,401,5,0.3,1,Goldfish,Omnivore,5,405,7.407407407407407e-4
1980,405,5,20.1,247,White Sucker,Benthic invertivore,1,405,0.049629629629629635
1980,604,5,0.1,31,Pumpkinseed,General invertivore,3,405,2.469135802469136e-4
1980,801,5,287.8,9467,Yellow Perch,General invertivore,3,405,0.7106172839506173
1980,803,5,23.200000000000003,182,Walleye,Piscivore,4,405,0.05728395061728396
1980,902,5,0.4,97,Slimy Sculpin,Benthic invertivore,1,405,9.876543209876543e-4
1981,119,5,1.4000000000000001,16,Channel Catfish,Omnivore,5,126,0.011111111111111112
1981,120,5,0.2,1,Stonecat,General invertivore,3,126,0.0015873015873015873
1981,401,5,0.3,1,Goldfish,Omnivore,5,126,0.0023809523809523807
1981,402,5,47.7,21,Carp,Omnivore,5,126,0.3785714285714286
1981,801,5,21.8,693,Yellow Perch,General invertivore,3,126,0.173015873015873
1982,119,5,6.4,40,Channel Catfish,Omnivore,5,280,0.022857142857142857
1982,133,5,0.2,3,White Bass,Piscivore,4,280,7.142857142857143e-4
1982,134,5,2,106,Freshwater Drum,Benthic invertivore,1,280,0.007142857142857143
1982,203,5,0.1,1,Lake Whitefish,Benthic invertivore,1,280,3.5714285714285714e-4
1982,401,5,0.8,1,Goldfish,Omnivore,5,280,0.002857142857142857
1982,402,5,62.3,23,Carp,Omnivore,5,280,0.2225
1982,405,5,13.4,289,White Sucker,Benthic invertivore,1,280,0.047857142857142855
1982,801,5,77.9,0,Yellow Perch,General invertivore,3,280,0.27821428571428575
1983,119,5,4,21,Channel Catfish,Omnivore,5,337,0.011869436201780416
1983,134,5,6.6,192,Freshwater Drum,Benthic invertivore,1,337,0.019584569732937686
1983,212,5,0.4,5,Round Whitefish,Benthic invertivore,1,337,0.0011869436201780417
1983,213,5,0.1,1,Unidentified Chubs,Benthic invertivore,1,337,2.9673590504451043e-4
1983,401,5,0.7,1,Goldfish,Omnivore,5,337,0.0020771513353115725
1983,405,5,0.4,9,White Sucker,Benthic invertivore,1,337,0.0011869436201780417
1983,604,5,0.1,9,Pumpkinseed,General invertivore,3,337,2.9673590504451043e-4
1983,801,5,25,81,Yellow Perch,General invertivore,3,337,0.07418397626112759
1984,119,5,14,67,Channel Catfish,Omnivore,5,228,0.06140350877192982
1984,120,5,0.2,1,Stonecat,General invertivore,3,228,8.771929824561404e-4
1984,133,5,0.2,1,White Bass,Piscivore,4,228,8.771929824561404e-4
1984,134,5,3.4,93,Freshwater Drum,Benthic invertivore,1,228,0.014912280701754385
1984,212,5,0.5,3,Round Whitefish,Benthic invertivore,1,228,0.0021929824561403508
1984,402,5,40,17,Carp,Omnivore,5,228,0.17543859649122806
1984,404,5,3.5,11,Longnose Sucker,Benthic invertivore,1,228,0.015350877192982455
1984,405,5,2.3,6,White Sucker,Benthic invertivore,1,228,0.010087719298245612
1984,801,5,26.3,664,Yellow Perch,General invertivore,3,228,0.11535087719298245
1985,119,5,7.1,34,Channel Catfish,Omnivore,5,138,0.05144927536231884
1985,133,5,0.7000000000000001,43,White Bass,Piscivore,4,138,0.0050724637681159425
1985,134,5,10.4,208,Freshwater Drum,Benthic invertivore,1,138,0.07536231884057971
1985,203,5,2.9,55,Lake Whitefish,Benthic invertivore,1,138,0.021014492753623187
1985,212,5,3,2,Round Whitefish,Benthic invertivore,1,138,0.021739130434782608
1985,213,5,0.1,2,Unidentified Chubs,Benthic invertivore,1,138,7.246376811594203e-4
1985,404,5,3.1,11,Longnose Sucker,Benthic invertivore,1,138,0.02246376811594203
1985,405,5,44.199999999999996,96,White Sucker,Benthic invertivore,1,138,0.3202898550724637
1985,610,5,0.1,1,Black Crappie,Piscivore,4,138,7.246376811594203e-4
1985,801,5,17.900000000000002,120,Yellow Perch,General invertivore,3,138,0.12971014492753624
1985,803,5,2.7,6,Walleye,Piscivore,4,138,0.01956521739130435
1994,119,5,22.57,120,Channel Catfish,Omnivore,5,346,0.06523121387283237
1994,132,5,15.41,212,White Perch,Benthic invertivore,1,346,0.04453757225433526
1994,133,5,0.31,4,White Bass,Piscivore,4,346,8.959537572254335e-4
1994,134,5,108.84,246,Freshwater Drum,Benthic invertivore,1,346,0.31456647398843934
1994,403,5,25.21,18,Quillback,Benthic invertivore,1,346,0.07286127167630058
1994,405,5,164.2,315,White Sucker,Benthic invertivore,1,346,0.47456647398843926
1994,413,5,4.05,5,Shorthead Redhorse,Benthic invertivore,1,346,0.011705202312138728
1994,801,5,0.9199999999999999,16,Yellow Perch,General invertivore,3,346,0.0026589595375722543
1994,803,5,27.73,32,Walleye,Piscivore,4,346,0.08014450867052023
1995,113,5,1.1,1,Northern Pike,Piscivore,4,390.8,0.0028147389969293756
1995,119,5,13.68,85,Channel Catfish,Omnivore,5,390.8,0.03500511770726714
1995,120,5,0.11,1,Stonecat,General invertivore,3,390.8,2.814738996929376e-4
1995,132,5,32.29,603,White Perch,Benthic invertivore,1,390.8,0.08262538382804503
1995,133,5,0.98,15,White Bass,Piscivore,4,390.8,0.0025076765609007164
1995,134,5,45.589999999999996,108,Freshwater Drum,Benthic invertivore,1,390.8,0.11665813715455475
1995,203,5,0.5,3,Lake Whitefish,Benthic invertivore,1,390.8,0.0012794268167860797
1995,401,5,1.45,4,Goldfish,Omnivore,5,390.8,0.0037103377686796314
1995,402,5,0.1,2,Carp,Omnivore,5,390.8,2.5588536335721597e-4
1995,403,5,13.98,20,Quillback,Benthic invertivore,1,390.8,0.03577277379733879
1995,405,5,101.35,249,White Sucker,Benthic invertivore,1,390.8,0.25933981576253834
1995,801,5,0.15000000000000002,4,Yellow Perch,General invertivore,3,390.8,3.83828045035824e-4
1995,803,5,27.94,33,Walleye,Piscivore,4,390.8,0.07149437052200615
1996,119,5,26.38,188,Channel Catfish,Omnivore,5,306,0.08620915032679738
1996,120,5,0.1,1,Stonecat,General invertivore,3,306,3.2679738562091506e-4
1996,132,5,35.9,599,White Perch,Benthic invertivore,1,306,0.1173202614379085
1996,133,5,1.89,9,White Bass,Piscivore,4,306,0.006176470588235294
1996,134,5,117.92999999999999,341,Freshwater Drum,Benthic invertivore,1,306,0.3853921568627451
1996,402,5,10,4,Carp,Omnivore,5,306,0.032679738562091505
1996,403,5,6.6000000000000005,8,Quillback,Benthic invertivore,1,306,0.021568627450980395
1996,405,5,108.72,238,White Sucker,Benthic invertivore,1,306,0.3552941176470588
1996,801,5,21.36,459,Yellow Perch,General invertivore,3,306,0.06980392156862746
1996,803,5,0.3,1,Walleye,Piscivore,4,306,9.80392156862745e-4
1997,119,5,10.89,63,Channel Catfish,Omnivore,5,348.3,0.031266149870801035
1997,120,5,0.1,1,Stonecat,General invertivore,3,348.3,2.871088142405972e-4
1997,132,5,9.44,129,White Perch,Benthic invertivore,1,348.3,0.027103072064312374
1997,133,5,1.43,22,White Bass,Piscivore,4,348.3,0.004105656043640539
1997,134,5,35.5,91,Freshwater Drum,Benthic invertivore,1,348.3,0.101923629055412
1997,203,5,0.09,2,Lake Whitefish,Benthic invertivore,1,348.3,2.5839793281653745e-4
1997,403,5,0.8,1,Quillback,Benthic invertivore,1,348.3,0.0022968705139247776
1997,405,5,153.04,273,White Sucker,Benthic invertivore,1,348.3,0.4393913293138099
1997,601,5,0.3,1,Rock Bass,Piscivore,4,348.3,8.613264427217915e-4
1997,801,5,16.81,215,Yellow Perch,General invertivore,3,348.3,0.04826299167384438
1997,803,5,3.08,60,Walleye,Piscivore,4,348.3,0.008842951478610393
1998,108,5,0.2,2,Gizzard Shad,Planktivore,2,245,8.163265306122449e-4
1998,119,5,10.2,56,Channel Catfish,Omnivore,5,245,0.04163265306122449
1998,132,5,0.21000000000000002,3,White Perch,Benthic invertivore,1,245,8.571428571428572e-4
1998,133,5,0.56,11,White Bass,Piscivore,4,245,0.002285714285714286
1998,134,5,35.5,84,Freshwater Drum,Benthic invertivore,1,245,0.14489795918367346
1998,212,5,0.1,1,Round Whitefish,Benthic invertivore,1,245,4.0816326530612246e-4
1998,405,5,102.95,201,White Sucker,Benthic invertivore,1,245,0.42020408163265305
1998,601,5,0.4,3,Rock Bass,Piscivore,4,245,0.0016326530612244899
1998,607,5,0.3,1,Smallmouth Bass,Piscivore,4,245,0.0012244897959183673
1998,801,5,14.63,526,Yellow Perch,General invertivore,3,245,0.05971428571428572
1999,104,5,5.9,5,Longnose Gar,Piscivore,4,172,0.03430232558139535
1999,119,5,10.92,75,Channel Catfish,Omnivore,5,172,0.06348837209302326
1999,132,5,14.93,225,White Perch,Benthic invertivore,1,172,0.08680232558139535
1999,133,5,0.7,1,White Bass,Piscivore,4,172,0.004069767441860465
1999,134,5,42.36,156,Freshwater Drum,Benthic invertivore,1,172,0.24627906976744185
1999,401,5,2.11,8,Goldfish,Omnivore,5,172,0.012267441860465116
1999,402,5,0.9,5,Carp,Omnivore,5,172,0.005232558139534884
1999,403,5,28.63,66,Quillback,Benthic invertivore,1,172,0.166453488372093
1999,405,5,53.15,106,White Sucker,Benthic invertivore,1,172,0.3090116279069767
1999,412,5,1.83,11,Golden Redhorse,Benthic invertivore,1,172,0.01063953488372093
1999,413,5,2.6,3,Shorthead Redhorse,Benthic invertivore,1,172,0.015116279069767442
1999,601,5,1.94,43,Rock Bass,Piscivore,4,172,0.011279069767441861
1999,604,5,0.1,1,Pumpkinseed,General invertivore,3,172,5.813953488372093e-4
1999,607,5,3.2600000000000002,10,Smallmouth Bass,Piscivore,4,172,0.018953488372093024
1999,610,5,0.1,1,Black Crappie,Piscivore,4,172,5.813953488372093e-4
1999,801,5,14.91,371,Yellow Perch,General invertivore,3,172,0.08668604651162791
2000,4,5,0.05,1,American Brook Lamprey,Omnivore,5,329,1.5197568389057752e-4
2000,104,5,2.7,2,Longnose Gar,Piscivore,4,329,0.008206686930091186
2000,108,5,1,1,Gizzard Shad,Planktivore,2,329,0.00303951367781155
2000,119,5,25.31,180,Channel Catfish,Omnivore,5,329,0.07693009118541033
2000,132,5,24.7,302,White Perch,Benthic invertivore,1,329,0.07507598784194529
2000,134,5,110.9,382,Freshwater Drum,Benthic invertivore,1,329,0.3370820668693009
2000,212,5,0.48,1,Round Whitefish,Benthic invertivore,1,329,0.001458966565349544
2000,402,5,2.08,5,Carp,Omnivore,5,329,0.006322188449848025
2000,403,5,40.65,32,Quillback,Benthic invertivore,1,329,0.12355623100303952
2000,405,5,95.56,175,White Sucker,Benthic invertivore,1,329,0.2904559270516717
2000,410,5,0.8,2,Silver Redhorse,Benthic invertivore,1,329,0.0024316109422492403
2000,412,5,1.2,1,Golden Redhorse,Benthic invertivore,1,329,0.00364741641337386
2000,601,5,0.28,2,Rock Bass,Piscivore,4,329,8.510638297872341e-4
2000,607,5,0.3,1,Smallmouth Bass,Piscivore,4,329,9.11854103343465e-4
2000,801,5,13.32,206,Yellow Perch,General invertivore,3,329,0.04048632218844985
2001,104,5,11.5,9,Longnose Gar,Piscivore,4,249,0.04618473895582329
2001,106,5,0.02,1,Alewife,Planktivore,2,249,8.032128514056225e-5
2001,113,5,2.5,1,Northern Pike,Piscivore,4,249,0.010040160642570281
2001,119,5,50.199999999999996,157,Channel Catfish,Omnivore,5,249,0.20160642570281123
2001,120,5,0.7,3,Stonecat,General invertivore,3,249,0.0028112449799196785
2001,132,5,7.48,52,White Perch,Benthic invertivore,1,249,0.03004016064257028
2001,134,5,66.45,126,Freshwater Drum,Benthic invertivore,1,249,0.2668674698795181
2001,402,5,0.52,119,Carp,Omnivore,5,249,0.0020883534136546186
2001,403,5,38.730000000000004,84,Quillback,Benthic invertivore,1,249,0.1555421686746988
2001,405,5,76.09,398,White Sucker,Benthic invertivore,1,249,0.3055823293172691
2001,413,5,2.5,2,Shorthead Redhorse,Benthic invertivore,1,249,0.010040160642570281
2001,601,5,0.41,3,Rock Bass,Piscivore,4,249,0.001646586345381526
2001,607,5,0.2,1,Smallmouth Bass,Piscivore,4,249,8.032128514056225e-4
2001,608,5,0.1,1,Largemouth Bass,Piscivore,4,249,4.0160642570281126e-4
2002,113,5,6.9,2,Northern Pike,Piscivore,4,361,0.019113573407202218
2002,119,5,36.23,109,Channel Catfish,Omnivore,5,361,0.10036011080332409
2002,132,5,0.6000000000000001,3,White Perch,Benthic invertivore,1,361,0.0016620498614958452
2002,133,5,1.62,12,White Bass,Piscivore,4,361,0.004487534626038781
2002,134,5,35.91,64,Freshwater Drum,Benthic invertivore,1,361,0.09947368421052631
2002,203,5,0.2,3,Lake Whitefish,Benthic invertivore,1,361,5.54016620498615e-4
2002,401,5,0.4,1,Goldfish,Omnivore,5,361,0.00110803324099723
2002,403,5,69.7,51,Quillback,Benthic invertivore,1,361,0.19307479224376733
2002,405,5,264.56,756,White Sucker,Benthic invertivore,1,361,0.7328531855955679
2002,413,5,1.3,1,Shorthead Redhorse,Benthic invertivore,1,361,0.003601108033240997
2002,601,5,0.01,1,Rock Bass,Piscivore,4,361,2.770083102493075e-5
2002,608,5,0.1,1,Largemouth Bass,Piscivore,4,361,2.770083102493075e-4
2003,108,5,0.05,1,Gizzard Shad,Planktivore,2,265,1.8867924528301889e-4
2003,119,5,18.5,80,Channel Catfish,Omnivore,5,265,0.06981132075471698
2003,132,5,3.87,60,White Perch,Benthic invertivore,1,265,0.01460377358490566
2003,134,5,65.9,128,Freshwater Drum,Benthic invertivore,1,265,0.24867924528301888
